Algorithm,Dataset,Run,N_Features_Total,Best_Fitness,Found_Global_Opt_Fitness,Best_Bitstring,Pareto_Front_Size,Min_Error_on_Front,Min_Feats_on_Front,Execution_Time
GA,Wine,1,13,0.03,True,0000001001001,,,,0.06817102432250977
GA,Wine,2,13,0.03,True,0000001001001,,,,0.06831789016723633
GA,Wine,3,13,0.03,True,0000000001011,,,,0.06860208511352539
GA,Wine,4,13,0.03,True,0000000001011,,,,0.06877899169921875
GA,Wine,5,13,0.03,True,0000001001001,,,,0.06932878494262695
GA,Wine,6,13,0.03,True,0000001001001,,,,0.06806397438049316
GA,Wine,7,13,0.03,True,0000000001011,,,,0.06731295585632324
GA,Wine,8,13,0.03,True,0000000001011,,,,0.06949305534362793
GA,Wine,9,13,0.03,True,0000000001011,,,,0.06827282905578613
GA,Wine,10,13,0.03,True,0000000001011,,,,0.06817364692687988
BPSO,Wine,1,13,0.03,True,0000001001001,,,,0.05013298988342285
BPSO,Wine,2,13,0.03,True,0000000001011,,,,0.05096006393432617
BPSO,Wine,3,13,0.03,True,0000000001011,,,,0.04979872703552246
BPSO,Wine,4,13,0.03,True,0000000001101,,,,0.04965662956237793
BPSO,Wine,5,13,0.03,True,0000000001011,,,,0.05126786231994629
BPSO,Wine,6,13,0.03,True,0000000001011,,,,0.05027008056640625
BPSO,Wine,7,13,0.03,True,0000000001101,,,,0.0501401424407959
BPSO,Wine,8,13,0.03,True,0000001001001,,,,0.0510401725769043
BPSO,Wine,9,13,0.03,True,0000000001011,,,,0.048911094665527344
BPSO,Wine,10,13,0.03,True,0000001001001,,,,0.05001497268676758
NSGA-II,Wine,1,13,,False,,100.0,0.0,1.0,18.292036056518555
NSGA-II,Wine,2,13,,False,,100.0,0.0,1.0,18.23950505256653
NSGA-II,Wine,3,13,,False,,100.0,0.0,1.0,18.30492067337036
NSGA-II,Wine,4,13,,False,,100.0,0.0,1.0,18.1891450881958
NSGA-II,Wine,5,13,,False,,100.0,0.0,1.0,18.187331199645996
NSGA-II,Wine,6,13,,False,,100.0,0.0,1.0,18.159847736358643
NSGA-II,Wine,7,13,,False,,100.0,0.0,1.0,18.23246192932129
NSGA-II,Wine,8,13,,False,,100.0,0.0,1.0,18.147115230560303
NSGA-II,Wine,9,13,,False,,100.0,0.0,1.0,18.150251865386963
NSGA-II,Wine,10,13,,False,,100.0,0.0,1.0,18.14434790611267
GA,Heart_Disease_Statlog,1,13,0.1487654320987654,True,0010001001011,,,,0.06880807876586914
GA,Heart_Disease_Statlog,2,13,0.1487654320987654,True,0010001001011,,,,0.068817138671875
GA,Heart_Disease_Statlog,3,13,0.1487654320987654,True,0010001001011,,,,0.06750297546386719
GA,Heart_Disease_Statlog,4,13,0.1487654320987654,True,0010001001011,,,,0.06902074813842773
GA,Heart_Disease_Statlog,5,13,0.1487654320987654,True,0010001001011,,,,0.06785917282104492
GA,Heart_Disease_Statlog,6,13,0.1487654320987654,True,0010001001011,,,,0.06790804862976074
GA,Heart_Disease_Statlog,7,13,0.1487654320987654,True,0010001001011,,,,0.0671851634979248
GA,Heart_Disease_Statlog,8,13,0.1487654320987654,True,0010001001011,,,,0.06700992584228516
GA,Heart_Disease_Statlog,9,13,0.1487654320987654,True,0010001001011,,,,0.06717729568481445
GA,Heart_Disease_Statlog,10,13,0.1487654320987654,True,0010001001011,,,,0.10216403007507324
BPSO,Heart_Disease_Statlog,1,13,0.1487654320987654,True,0010001001011,,,,0.049887895584106445
