subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(12,)",0000000000001,1,0.7901234567901234,0.2098765432098766,0.01,0.2198765432098766
"(11,)",0000000000010,1,0.7654320987654321,0.23456790123456794,0.01,0.24456790123456795
"(11, 12)",0000000000011,2,0.8395061728395061,0.16049382716049387,0.02,0.18049382716049386
"(10,)",0000000000100,1,0.6419753086419753,0.3580246913580247,0.01,0.36802469135802474
"(10, 12)",0000000000101,2,0.7037037037037037,0.2962962962962963,0.02,0.3162962962962963
"(10, 11)",0000000000110,2,0.7160493827160493,0.28395061728395066,0.02,0.3039506172839507
"(10, 11, 12)",0000000000111,3,0.8024691358024691,0.19753086419753085,0.03,0.22753086419753085
"(9,)",0000000001000,1,0.6666666666666666,0.33333333333333337,0.01,0.3433333333333334
"(9, 12)",0000000001001,2,0.7901234567901234,0.2098765432098766,0.02,0.22987654320987658
"(9, 11)",0000000001010,2,0.7654320987654321,0.23456790123456794,0.02,0.25456790123456796
"(9, 11, 12)",0000000001011,3,0.8271604938271605,0.1728395061728395,0.03,0.2028395061728395
"(9, 10)",0000000001100,2,0.6296296296296297,0.37037037037037035,0.02,0.39037037037037037
"(9, 10, 12)",0000000001101,3,0.7160493827160493,0.28395061728395066,0.03,0.3139506172839507
"(9, 10, 11)",0000000001110,3,0.7530864197530864,0.24691358024691357,0.03,0.2769135802469136
"(9, 10, 11, 12)",0000000001111,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(8,)",0000000010000,1,0.7160493827160493,0.28395061728395066,0.01,0.29395061728395067
"(8, 12)",0000000010001,2,0.7530864197530864,0.24691358024691357,0.02,0.2669135802469136
"(8, 11)",0000000010010,2,0.7901234567901234,0.2098765432098766,0.02,0.22987654320987658
"(8, 11, 12)",0000000010011,3,0.8395061728395061,0.16049382716049387,0.03,0.19049382716049387
"(8, 10)",0000000010100,2,0.654320987654321,0.345679012345679,0.02,0.365679012345679
"(8, 10, 12)",0000000010101,3,0.7654320987654321,0.23456790123456794,0.03,0.26456790123456797
"(8, 10, 11)",0000000010110,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(8, 10, 11, 12)",0000000010111,4,0.7777777777777778,0.2222222222222222,0.04,0.2622222222222222
"(8, 9)",0000000011000,2,0.654320987654321,0.345679012345679,0.02,0.365679012345679
"(8, 9, 12)",0000000011001,3,0.7283950617283951,0.2716049382716049,0.03,0.30160493827160495
"(8, 9, 11)",0000000011010,3,0.7654320987654321,0.23456790123456794,0.03,0.26456790123456797
"(8, 9, 11, 12)",0000000011011,4,0.8395061728395061,0.16049382716049387,0.04,0.20049382716049388
"(8, 9, 10)",0000000011100,3,0.6049382716049383,0.3950617283950617,0.03,0.42506172839506173
"(8, 9, 10, 12)",0000000011101,4,0.7407407407407407,0.2592592592592593,0.04,0.2992592592592593
"(8, 9, 10, 11)",0000000011110,4,0.7160493827160493,0.28395061728395066,0.04,0.32395061728395064
"(8, 9, 10, 11, 12)",0000000011111,5,0.7777777777777778,0.2222222222222222,0.05,0.2722222222222222
"(7,)",0000000100000,1,0.5555555555555556,0.4444444444444444,0.01,0.45444444444444443
"(7, 12)",0000000100001,2,0.654320987654321,0.345679012345679,0.02,0.365679012345679
"(7, 11)",0000000100010,2,0.7283950617283951,0.2716049382716049,0.02,0.29160493827160494
"(7, 11, 12)",0000000100011,3,0.7283950617283951,0.2716049382716049,0.03,0.30160493827160495
"(7, 10)",0000000100100,2,0.654320987654321,0.345679012345679,0.02,0.365679012345679
"(7, 10, 12)",0000000100101,3,0.691358024691358,0.308641975308642,0.03,0.33864197530864204
"(7, 10, 11)",0000000100110,3,0.691358024691358,0.308641975308642,0.03,0.33864197530864204
"(7, 10, 11, 12)",0000000100111,4,0.7530864197530864,0.24691358024691357,0.04,0.28691358024691355
"(7, 9)",0000000101000,2,0.7777777777777778,0.2222222222222222,0.02,0.2422222222222222
"(7, 9, 12)",0000000101001,3,0.7283950617283951,0.2716049382716049,0.03,0.30160493827160495
"(7, 9, 11)",0000000101010,3,0.8024691358024691,0.19753086419753085,0.03,0.22753086419753085
"(7, 9, 11, 12)",0000000101011,4,0.8024691358024691,0.19753086419753085,0.04,0.23753086419753086
"(7, 9, 10)",0000000101100,3,0.7283950617283951,0.2716049382716049,0.03,0.30160493827160495
"(7, 9, 10, 12)",0000000101101,4,0.6790123456790124,0.32098765432098764,0.04,0.3609876543209876
"(7, 9, 10, 11)",0000000101110,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(7, 9, 10, 11, 12)",0000000101111,5,0.7901234567901234,0.2098765432098766,0.05,0.2598765432098766
"(7, 8)",0000000110000,2,0.6296296296296297,0.37037037037037035,0.02,0.39037037037037037
"(7, 8, 12)",0000000110001,3,0.6790123456790124,0.32098765432098764,0.03,0.35098765432098766
"(7, 8, 11)",0000000110010,3,0.7037037037037037,0.2962962962962963,0.03,0.3262962962962963
"(7, 8, 11, 12)",0000000110011,4,0.7037037037037037,0.2962962962962963,0.04,0.33629629629629626
"(7, 8, 10)",0000000110100,3,0.7160493827160493,0.28395061728395066,0.03,0.3139506172839507
"(7, 8, 10, 12)",0000000110101,4,0.7654320987654321,0.23456790123456794,0.04,0.2745679012345679
"(7, 8, 10, 11)",0000000110110,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(7, 8, 10, 11, 12)",0000000110111,5,0.7407407407407407,0.2592592592592593,0.05,0.3092592592592593
"(7, 8, 9)",0000000111000,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(7, 8, 9, 12)",0000000111001,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(7, 8, 9, 11)",0000000111010,4,0.7530864197530864,0.24691358024691357,0.04,0.28691358024691355
"(7, 8, 9, 11, 12)",0000000111011,5,0.7654320987654321,0.23456790123456794,0.05,0.28456790123456793
"(7, 8, 9, 10)",0000000111100,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(7, 8, 9, 10, 12)",0000000111101,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(7, 8, 9, 10, 11)",0000000111110,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(7, 8, 9, 10, 11, 12)",0000000111111,6,0.7901234567901234,0.2098765432098766,0.06,0.2698765432098766
"(6,)",0000001000000,1,0.6172839506172839,0.3827160493827161,0.01,0.3927160493827161
"(6, 12)",0000001000001,2,0.7777777777777778,0.2222222222222222,0.02,0.2422222222222222
"(6, 11)",0000001000010,2,0.7530864197530864,0.24691358024691357,0.02,0.2669135802469136
"(6, 11, 12)",0000001000011,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(6, 10)",0000001000100,2,0.6419753086419753,0.3580246913580247,0.02,0.37802469135802474
"(6, 10, 12)",0000001000101,3,0.7530864197530864,0.24691358024691357,0.03,0.2769135802469136
"(6, 10, 11)",0000001000110,3,0.7530864197530864,0.24691358024691357,0.03,0.2769135802469136
"(6, 10, 11, 12)",0000001000111,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(6, 9)",0000001001000,2,0.7160493827160493,0.28395061728395066,0.02,0.3039506172839507
"(6, 9, 12)",0000001001001,3,0.7901234567901234,0.2098765432098766,0.03,0.23987654320987659
"(6, 9, 11)",0000001001010,3,0.8024691358024691,0.19753086419753085,0.03,0.22753086419753085
"(6, 9, 11, 12)",0000001001011,4,0.8518518518518519,0.14814814814814814,0.04,0.18814814814814815
"(6, 9, 10)",0000001001100,3,0.6666666666666666,0.33333333333333337,0.03,0.3633333333333334
"(6, 9, 10, 12)",0000001001101,4,0.7160493827160493,0.28395061728395066,0.04,0.32395061728395064
"(6, 9, 10, 11)",0000001001110,4,0.7777777777777778,0.2222222222222222,0.04,0.2622222222222222
"(6, 9, 10, 11, 12)",0000001001111,5,0.8148148148148148,0.18518518518518523,0.05,0.23518518518518522
"(6, 8)",0000001010000,2,0.7160493827160493,0.28395061728395066,0.02,0.3039506172839507
"(6, 8, 12)",0000001010001,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(6, 8, 11)",0000001010010,3,0.8024691358024691,0.19753086419753085,0.03,0.22753086419753085
"(6, 8, 11, 12)",0000001010011,4,0.8395061728395061,0.16049382716049387,0.04,0.20049382716049388
"(6, 8, 10)",0000001010100,3,0.6419753086419753,0.3580246913580247,0.03,0.38802469135802475
"(6, 8, 10, 12)",0000001010101,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(6, 8, 10, 11)",0000001010110,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(6, 8, 10, 11, 12)",0000001010111,5,0.7901234567901234,0.2098765432098766,0.05,0.2598765432098766
"(6, 8, 9)",0000001011000,3,0.6666666666666666,0.33333333333333337,0.03,0.3633333333333334
"(6, 8, 9, 12)",0000001011001,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(6, 8, 9, 11)",0000001011010,4,0.8148148148148148,0.18518518518518523,0.04,0.22518518518518524
"(6, 8, 9, 11, 12)",0000001011011,5,0.8148148148148148,0.18518518518518523,0.05,0.23518518518518522
"(6, 8, 9, 10)",0000001011100,4,0.5802469135802469,0.41975308641975306,0.04,0.45975308641975304
"(6, 8, 9, 10, 12)",0000001011101,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(6, 8, 9, 10, 11)",0000001011110,5,0.7777777777777778,0.2222222222222222,0.05,0.2722222222222222
"(6, 8, 9, 10, 11, 12)",0000001011111,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(6, 7)",0000001100000,2,0.5802469135802469,0.41975308641975306,0.02,0.4397530864197531
"(6, 7, 12)",0000001100001,3,0.7160493827160493,0.28395061728395066,0.03,0.3139506172839507
"(6, 7, 11)",0000001100010,3,0.6666666666666666,0.33333333333333337,0.03,0.3633333333333334
"(6, 7, 11, 12)",0000001100011,4,0.7654320987654321,0.23456790123456794,0.04,0.2745679012345679
"(6, 7, 10)",0000001100100,3,0.6049382716049383,0.3950617283950617,0.03,0.42506172839506173
"(6, 7, 10, 12)",0000001100101,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(6, 7, 10, 11)",0000001100110,4,0.6790123456790124,0.32098765432098764,0.04,0.3609876543209876
"(6, 7, 10, 11, 12)",0000001100111,5,0.691358024691358,0.308641975308642,0.05,0.358641975308642
"(6, 7, 9)",0000001101000,3,0.7283950617283951,0.2716049382716049,0.03,0.30160493827160495
"(6, 7, 9, 12)",0000001101001,4,0.7777777777777778,0.2222222222222222,0.04,0.2622222222222222
"(6, 7, 9, 11)",0000001101010,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(6, 7, 9, 11, 12)",0000001101011,5,0.8024691358024691,0.19753086419753085,0.05,0.24753086419753084
"(6, 7, 9, 10)",0000001101100,4,0.6666666666666666,0.33333333333333337,0.04,0.37333333333333335
"(6, 7, 9, 10, 12)",0000001101101,5,0.7654320987654321,0.23456790123456794,0.05,0.28456790123456793
"(6, 7, 9, 10, 11)",0000001101110,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(6, 7, 9, 10, 11, 12)",0000001101111,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(6, 7, 8)",0000001110000,3,0.6790123456790124,0.32098765432098764,0.03,0.35098765432098766
"(6, 7, 8, 12)",0000001110001,4,0.7530864197530864,0.24691358024691357,0.04,0.28691358024691355
"(6, 7, 8, 11)",0000001110010,4,0.7160493827160493,0.28395061728395066,0.04,0.32395061728395064
"(6, 7, 8, 11, 12)",0000001110011,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(6, 7, 8, 10)",0000001110100,4,0.691358024691358,0.308641975308642,0.04,0.348641975308642
"(6, 7, 8, 10, 12)",0000001110101,5,0.7654320987654321,0.23456790123456794,0.05,0.28456790123456793
"(6, 7, 8, 10, 11)",0000001110110,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(6, 7, 8, 10, 11, 12)",0000001110111,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(6, 7, 8, 9)",0000001111000,4,0.7407407407407407,0.2592592592592593,0.04,0.2992592592592593
"(6, 7, 8, 9, 12)",0000001111001,5,0.8148148148148148,0.18518518518518523,0.05,0.23518518518518522
"(6, 7, 8, 9, 11)",0000001111010,5,0.8024691358024691,0.19753086419753085,0.05,0.24753086419753084
"(6, 7, 8, 9, 11, 12)",0000001111011,6,0.7901234567901234,0.2098765432098766,0.06,0.2698765432098766
"(6, 7, 8, 9, 10)",0000001111100,5,0.7037037037037037,0.2962962962962963,0.05,0.34629629629629627
"(6, 7, 8, 9, 10, 12)",0000001111101,6,0.7777777777777778,0.2222222222222222,0.06,0.2822222222222222
"(6, 7, 8, 9, 10, 11)",0000001111110,6,0.7654320987654321,0.23456790123456794,0.06,0.29456790123456794
"(6, 7, 8, 9, 10, 11, 12)",0000001111111,7,0.7530864197530864,0.24691358024691357,0.07,0.3169135802469136
"(5,)",0000010000000,1,0.4691358024691358,0.5308641975308642,0.01,0.5408641975308642
"(5, 12)",0000010000001,2,0.7901234567901234,0.2098765432098766,0.02,0.22987654320987658
"(5, 11)",0000010000010,2,0.7654320987654321,0.23456790123456794,0.02,0.25456790123456796
"(5, 11, 12)",0000010000011,3,0.8395061728395061,0.16049382716049387,0.03,0.19049382716049387
"(5, 10)",0000010000100,2,0.6049382716049383,0.3950617283950617,0.02,0.4150617283950617
"(5, 10, 12)",0000010000101,3,0.7654320987654321,0.23456790123456794,0.03,0.26456790123456797
"(5, 10, 11)",0000010000110,3,0.7037037037037037,0.2962962962962963,0.03,0.3262962962962963
"(5, 10, 11, 12)",0000010000111,4,0.8148148148148148,0.18518518518518523,0.04,0.22518518518518524
"(5, 9)",0000010001000,2,0.7160493827160493,0.28395061728395066,0.02,0.3039506172839507
"(5, 9, 12)",0000010001001,3,0.7160493827160493,0.28395061728395066,0.03,0.3139506172839507
"(5, 9, 11)",0000010001010,3,0.7654320987654321,0.23456790123456794,0.03,0.26456790123456797
"(5, 9, 11, 12)",0000010001011,4,0.7777777777777778,0.2222222222222222,0.04,0.2622222222222222
"(5, 9, 10)",0000010001100,3,0.6419753086419753,0.3580246913580247,0.03,0.38802469135802475
"(5, 9, 10, 12)",0000010001101,4,0.7283950617283951,0.2716049382716049,0.04,0.3116049382716049
"(5, 9, 10, 11)",0000010001110,4,0.7530864197530864,0.24691358024691357,0.04,0.28691358024691355
"(5, 9, 10, 11, 12)",0000010001111,5,0.7654320987654321,0.23456790123456794,0.05,0.28456790123456793
"(5, 8)",0000010010000,2,0.7160493827160493,0.28395061728395066,0.02,0.3039506172839507
"(5, 8, 12)",0000010010001,3,0.7654320987654321,0.23456790123456794,0.03,0.26456790123456797
"(5, 8, 11)",0000010010010,3,0.7901234567901234,0.2098765432098766,0.03,0.23987654320987659
"(5, 8, 11, 12)",0000010010011,4,0.8395061728395061,0.16049382716049387,0.04,0.20049382716049388
"(5, 8, 10)",0000010010100,3,0.6666666666666666,0.33333333333333337,0.03,0.3633333333333334
"(5, 8, 10, 12)",0000010010101,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(5, 8, 10, 11)",0000010010110,4,0.7777777777777778,0.2222222222222222,0.04,0.2622222222222222
"(5, 8, 10, 11, 12)",0000010010111,5,0.8148148148148148,0.18518518518518523,0.05,0.23518518518518522
"(5, 8, 9)",0000010011000,3,0.691358024691358,0.308641975308642,0.03,0.33864197530864204
"(5, 8, 9, 12)",0000010011001,4,0.7654320987654321,0.23456790123456794,0.04,0.2745679012345679
"(5, 8, 9, 11)",0000010011010,4,0.7901234567901234,0.2098765432098766,0.04,0.2498765432098766
"(5, 8, 9, 11, 12)",0000010011011,5,0.8518518518518519,0.14814814814814814,0.05,0.19814814814814813
"(5, 8, 9, 10)",0000010011100,4,0.6172839506172839,0.3827160493827161,0.04,0.42271604938271606
