subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(6,)",0000001,1,0.6349206349206349,0.3650793650793651,0.01,0.3750793650793651
"(5,)",0000010,1,0.6031746031746031,0.39682539682539686,0.01,0.40682539682539687
"(5, 6)",0000011,2,0.8571428571428571,0.1428571428571429,0.02,0.1628571428571429
"(4,)",0000100,1,0.6507936507936508,0.3492063492063492,0.01,0.3592063492063492
"(4, 6)",0000101,2,0.8571428571428571,0.1428571428571429,0.02,0.1628571428571429
"(4, 5)",0000110,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(4, 5, 6)",0000111,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(3,)",0001000,1,0.7301587301587301,0.2698412698412699,0.01,0.2798412698412699
"(3, 6)",0001001,2,0.9365079365079365,0.06349206349206349,0.02,0.08349206349206349
"(3, 5)",0001010,2,0.8412698412698413,0.15873015873015872,0.02,0.1787301587301587
"(3, 5, 6)",0001011,3,0.9206349206349206,0.07936507936507942,0.03,0.10936507936507942
"(3, 4)",0001100,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(3, 4, 6)",0001101,3,0.9047619047619048,0.09523809523809523,0.03,0.12523809523809523
"(3, 4, 5)",0001110,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(3, 4, 5, 6)",0001111,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(2,)",0010000,1,0.5079365079365079,0.4920634920634921,0.01,0.5020634920634921
"(2, 6)",0010001,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(2, 5)",0010010,2,0.6031746031746031,0.39682539682539686,0.02,0.4168253968253969
"(2, 5, 6)",0010011,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(2, 4)",0010100,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(2, 4, 6)",0010101,3,0.8412698412698413,0.15873015873015872,0.03,0.18873015873015872
"(2, 4, 5)",0010110,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(2, 4, 5, 6)",0010111,4,0.9047619047619048,0.09523809523809523,0.04,0.13523809523809524
"(2, 3)",0011000,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(2, 3, 6)",0011001,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(2, 3, 5)",0011010,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(2, 3, 5, 6)",0011011,4,0.9523809523809523,0.04761904761904767,0.04,0.08761904761904768
"(2, 3, 4)",0011100,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(2, 3, 4, 6)",0011101,4,0.9047619047619048,0.09523809523809523,0.04,0.13523809523809524
